# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
93.0000 M11 10000 2 33.0000 S1 P104 299 N S1->C141->P104
144.6000 M372 10000 2 24.6000 S37 P100 299 N S37->C162->P100
162.7000 M862 10000 2 42.7000 S86 P103 299 N S86->C208->P103
162.7000 M861 10000 2 102.7000 S86 P103 298 N S86->C208->P103
187.7000 M883 10000 2 7.7000 S88 P100 299 N S88->C178->P100
217.7000 M851 10000 2 157.7000 S85 P102 297 N S85->C189->P102
280.8000 M93 10000 4 100.8000 S9 P102 298 N S9->C118->C183->C189->P102
288.6000 M884 10000 2 48.6000 S88 P100 299 N S88->C212->P100
383.1000 M154 10000 2 143.1000 S15 P102 297 N S15->C221->P102
383.1000 M792 10000 7 263.1000 S79 P102 295 N S79->C112->C138->C188->C214->C166->C221->P102
383.1000 M96 10000 2 23.1000 S9 P102 299 N S9->C221->P102
383.1000 M823 10000 7 203.1000 S82 P102 296 N S82->C154->C210->C130->C214->C166->C221->P102
383.1000 M271 10000 2 323.1000 S27 P102 294 N S27->C221->P102
383.1000 M451 10000 8 323.1000 S45 P102 294 N S45->C175->S14->C210->C130->C214->C166->C221->P102
383.1000 M492 10000 4 263.1000 S49 P102 295 N S49->C108->C204->C221->P102
383.1000 M371 10000 7 323.1000 S37 P102 294 N S37->C162->C210->C130->C214->C166->C221->P102
383.1000 M763 10000 4 203.1000 S76 P102 296 N S76->C202->S15->C221->P102
383.1000 M524 10000 5 143.1000 S52 P102 297 N S52->C148->C202->C166->C221->P102
383.1000 M491 10000 3 323.1000 S49 P102 294 N S49->C204->C221->P102
405.1000 M395 10000 4 105.1000 S39 P102 298 N S39->C204->C108->S28->P102
405.1000 M294 10000 4 165.1000 S29 P102 297 N S29->C204->C108->S28->P102
405.1000 M562 10000 4 285.1000 S56 P102 295 N S56->C204->C108->S28->P102
406.5000 M641 10000 4 346.5000 S64 P101 294 N S64->C197->C229->C192->P101
419.3000 M235 10000 2 119.3000 S23 P100 298 N S23->C185->P100
419.3000 M232 10000 4 299.3000 S23 P100 295 N S23->C119->S5->C185->P100
