# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
93.1000 M11 10000 2 33.1000 S1 P104 299 N S1->C141->P104
144.7000 M372 10000 2 24.7000 S37 P100 299 N S37->C162->P100
187.8000 M883 10000 2 7.8000 S88 P100 299 N S88->C178->P100
280.9000 M93 10000 7 100.9000 S9 P102 298 N S9->C118->C120->C183->C116->S85->C189->P102
291.7000 M884 10000 2 51.7000 S88 P100 299 N S88->C212->P100
405.9000 M294 10000 5 165.9000 S29 P102 297 N S29->C204->S27->C108->S28->P102
406.6000 M641 10000 4 346.6000 S64 P101 294 N S64->C197->C229->C192->P101
419.4000 M44 10000 2 179.4000 S4 P100 297 N S4->C185->P100
419.5000 M46 10000 2 59.5000 S4 P100 299 N S4->C185->P100
493.6000 M888 10000 2 13.6000 S88 P100 299 N S88->C185->P100
493.7000 M887 10000 2 73.7000 S88 P100 298 N S88->C185->P100
520.2000 M995 10000 4 220.2000 S99 P100 296 N S99->C181->S23->C189->P100
520.3000 M613 10000 8 340.3000 S61 P100 294 N S61->C220->C141->C185->S99->C181->S23->C189->P100
520.4000 M238 10000 2 40.4000 S23 P100 299 N S23->C189->P100
540.1000 M289 10000 1 0.1000 S28 P102 299 N S28->P102
547.0000 M154 10000 7 307.0000 S15 P102 294 N S15->C202->C221->S76->C166->S9->C185->P102
548.0000 M763 10000 8 368.0000 S76 P102 293 N S76->C202->S15->C221->C166->S9->C185->C108->P102
560.0000 M966 10000 2 200.0000 S96 P103 296 N S96->C195->P103
567.0000 M49 10000 2 27.0000 S4 P100 299 N S4->C225->P100
671.3000 M9610 10000 2 71.3000 S96 P103 298 N S96->C227->P103
696.5000 M818 10000 6 216.5000 S81 P102 296 N S81->C150->C212->C162->C178->C183->P102
704.1000 M851 10000 12 644.1000 S85 P102 289 N S85->C183->C120->C116->C118->C175->C106->C154->C185->C221->S9->C108->P102
771.8000 M491 10000 13 711.8000 S49 P102 288 N S49->C204->C108->S91->C221->S15->C202->S48->C148->S71->C191->C216->C212->P102
799.1000 M977 10000 8 379.1000 S97 P103 293 N S97->C129->C187->S3->C218->C208->C158->C195->P103
902.6000 M158 10000 10 422.6000 S15 P102 292 N S15->C128->C185->S76->C221->S9->C108->C202->C106->C212->P102
910.0000 M910 10000 9 310.0000 S9 P102 294 N S9->C116->C185->C221->S76->C108->C202->S15->C216->P102
910.1000 M96 10000 11 550.1000 S9 P102 290 N S9->C166->S85->C154->C106->C116->C183->C221->C108->C202->C216->P102
977.5000 M19 10000 2 437.5000 S1 P104 292 N S1->C225->P104
1004.6000 M862 10000 6 884.6000 S86 P103 285 N S86->C195->C227->S2->C229->C208->P103
1017.9000 M616 10000 7 657.9000 S61 P104 289 N S61->C141->S23->C230->C225->S99->C181->P104
1032.7000 M596 10000 12 672.7000 S59 P100 288 N S59->C175->C120->C106->C185->S82->C118->S45->C137->C220->S88->C131->P100
1065.8000 M762 10000 20 945.8000 S76 P100 284 N S76->C202->S15->C221->C166->S9->C185->C108->P102->S28->C162->C183->S85->C106->C154->C212->C216->C175->C219->C141->P100
1065.9000 M852 10000 20 945.9000 S85 P100 284 N S85->C183->C120->C116->C118->S9->C166->S76->C185->C108->P102->S28->C221->C162->C128->C154->C175->C137->C219->C141->P100
1066.0000 M768 10000 15 586.0000 S76 P100 290 N S76->C185->S9->C221->C108->S15->C202->C106->C154->C212->P102->S28->C175->C219->C141->P100
1234.9000 M657 10000 9 814.9000 S65 P103 286 N S65->C229->S64->C129->C115->S55->C158->C208->C227->P103
1235.0000 M655 10000 9 935.0000 S65 P103 284 N S65->C229->S64->C129->C115->S55->C158->C208->C227->P103
1344.0000 M638 10000 13 864.0000 S63 P101 285 N S63->C126->S83->C105->C159->C129->S44->C225->C115->C233->C228->C169->C215->P101
1351.8000 M268 10000 6 871.8000 S26 P102 285 N S26->C204->C216->S29->C133->C219->P102
1352.3000 M262 10000 7 1232.3000 S26 P102 279 N S26->C204->C216->S29->C133->C219->S28->P102
1458.7000 M497 10000 10 1038.7000 S49 P102 282 N S49->C183->C128->S91->C202->C108->S15->C216->S76->C221->P102
1491.6000 M706 10000 8 1131.6000 S70 P101 281 N S70->C215->C192->S36->C105->C187->S38->C228->P101
1491.7000 M4010 10000 7 891.7000 S40 P101 285 N S40->C215->C164->S38->C187->S12->C228->P101
1578.3000 M206 10000 14 1218.3000 S20 P100 279 N S20->C183->C108->C137->C120->C116->S59->C118->C154->C214->C128->C178->S4->C202->P100
1578.4000 M209 10000 14 1038.4000 S20 P100 282 N S20->C183->C108->C137->C120->C116->S59->C118->C154->C214->C128->C178->S4->C202->P100
1681.0000 M39 10000 9 1141.0000 S3 P103 280 N S3->C187->C218->C195->C149->C225->C227->C229->C110->P103
1763.4000 M858 10000 29 1283.4000 S85 P102 278 N S85->C154->C106->S9->C108->C183->C116->C118->C175->S59->C120->C137->C219->C141->P100->C202->C128->S4->C185->S37->C171->C204->S29->C216->C130->S27->C133->C221->S28->P102
