# messageDelay  cumulativeProbability
0.1000 0.0010
7.8000 0.0020
13.6000 0.0030
24.7000 0.0040
27.0000 0.0050
33.1000 0.0060
40.4000 0.0070
51.7000 0.0080
59.5000 0.0090
71.3000 0.0100
73.7000 0.0110
100.9000 0.0120
165.9000 0.0130
179.4000 0.0140
200.0000 0.0150
216.5000 0.0160
220.2000 0.0170
307.0000 0.0180
310.0000 0.0190
340.3000 0.0200
346.6000 0.0210
368.0000 0.0220
379.1000 0.0230
422.6000 0.0240
437.5000 0.0250
550.1000 0.0260
586.0000 0.0270
644.1000 0.0280
657.9000 0.0290
672.7000 0.0300
711.8000 0.0310
814.9000 0.0320
864.0000 0.0330
871.8000 0.0340
884.6000 0.0350
891.7000 0.0360
935.0000 0.0370
945.8000 0.0380
945.9000 0.0390
1038.4000 0.0400
1038.7000 0.0410
1131.6000 0.0420
1141.0000 0.0430
1205.5000 0.0440
1218.3000 0.0450
1232.3000 0.0460
1268.7000 0.0470
1283.4000 0.0480
1328.6000 0.0490
1650.2000 0.0500
1685.4000 0.0510
1786.7000 0.0520
1951.8000 0.0530
1966.7000 0.0540
2064.3000 0.0550
2070.4000 0.0560
2086.8000 0.0570
2103.5000 0.0580
2124.4000 0.0590
2130.3000 0.0600
2131.9000 0.0610
2140.3000 0.0620
2246.4000 0.0630
2462.4000 0.0640
2530.7000 0.0650
2544.5000 0.0660
2546.3000 0.0670
2553.5000 0.0680
2720.0000 0.0690
2795.0000 0.0700
2853.4000 0.0710
2872.9000 0.0720
2899.9000 0.0730
2962.9000 0.0740
2969.5000 0.0750
3005.3000 0.0760
3019.8000 0.0770
3222.2000 0.0780
3308.6000 0.0790
3380.1000 0.0800
3582.0000 0.0810
3626.0000 0.0820
3633.4000 0.0830
3643.8000 0.0840
3699.7000 0.0850
3991.6000 0.0860
