# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
224.0000 M232 10000 2 104.0000 S23 P100 298 N S23->C130->P100
224.8000 M883 10000 2 44.8000 S88 P100 299 N S88->C130->P100
253.6000 M402 10000 2 133.6000 S40 P101 297 N S40->C129->P101
261.3000 M851 10000 4 201.3000 S85 P102 296 N S85->C154->S9->C108->P102
261.4000 M763 10000 2 81.4000 S76 P102 298 N S76->C108->P102
261.5000 M93 10000 2 81.5000 S9 P102 298 N S9->C108->P102
540.1000 M289 10000 1 0.1000 S28 P102 299 N S28->P102
584.4000 M173 10000 3 404.4000 S17 P101 293 N S17->C140->C150->P101
584.5000 M177 10000 2 164.5000 S17 P101 297 N S17->C150->P101
584.6000 M404 10000 4 344.6000 S40 P101 294 N S40->C119->S30->C150->P101
727.5000 M451 10000 5 667.5000 S45 P102 288 N S45->C143->C112->S14->C131->P102
727.6000 M144 10000 2 487.6000 S14 P102 291 N S14->C131->P102
727.7000 M944 10000 3 487.7000 S94 P102 291 N S94->C108->C131->P102
727.8000 M826 10000 6 367.8000 S82 P102 293 N S82->C118->C154->C143->S14->C131->P102
727.9000 M532 10000 3 607.9000 S53 P102 289 N S53->C147->C131->P102
728.0000 M298 10000 2 248.0000 S29 P102 295 N S29->C131->P102
728.1000 M597 10000 4 308.1000 S59 P102 294 N S59->C118->S14->C131->P102
728.2000 M294 10000 2 488.2000 S29 P102 291 N S29->C131->P102
728.3000 M395 10000 3 428.3000 S39 P102 292 N S39->C131->S28->P102
734.5000 M738 10000 3 254.5000 S73 P100 295 N S73->C137->C120->P100
734.6000 M942 10000 3 614.6000 S94 P100 289 N S94->C131->C120->P100
734.7000 M884 10000 2 494.7000 S88 P100 291 N S88->C120->P100
734.8000 M736 10000 3 374.8000 S73 P100 293 N S73->C137->C120->P100
738.1000 M887 10000 2 318.1000 S88 P100 294 N S88->C120->P100
859.3000 M552 10000 2 739.3000 S55 P103 287 N S55->C148->P103
859.4000 M242 10000 3 739.4000 S24 P103 287 N S24->C110->C148->P103
859.5000 M241 10000 4 799.5000 S24 P103 286 N S24->C115->C110->C148->P103
894.5000 M02 10000 2 774.5000 S0 P100 287 N S0->C120->P100
894.6000 M372 10000 2 774.6000 S37 P100 287 N S37->C120->P100
894.7000 M888 10000 2 414.7000 S88 P100 293 N S88->C120->P100
900.8000 M678 10000 3 420.8000 S67 P101 292 N S67->C127->C138->P101
900.9000 M4110 10000 2 300.9000 S41 P101 294 N S41->C138->P101
901.0000 M672 10000 3 781.0000 S67 P101 286 N S67->C127->C138->P101
901.1000 M418 10000 2 421.1000 S41 P101 292 N S41->C138->P101
901.2000 M417 10000 2 481.2000 S41 P101 291 N S41->C138->P101
954.7000 M154 10000 2 714.7000 S15 P102 288 N S15->C112->P102
954.8000 M926 10000 2 594.8000 S92 P102 290 N S92->C112->P102
954.9000 M9210 10000 2 354.9000 S92 P102 294 N S92->C112->P102
955.0000 M398 10000 4 475.0000 S39 P102 292 N S39->C131->S91->C112->P102
955.1000 M297 10000 4 535.1000 S29 P102 291 N S29->C131->S91->C112->P102
955.2000 M823 10000 2 775.2000 S82 P102 287 N S82->C112->P102
955.3000 M919 10000 2 415.3000 S91 P102 293 N S91->C112->P102
955.4000 M158 10000 2 475.4000 S15 P102 292 N S15->C112->P102
955.5000 M157 10000 2 535.5000 S15 P102 291 N S15->C112->P102
955.6000 M142 10000 2 835.6000 S14 P102 286 N S14->C112->P102
955.7000 M595 10000 4 655.7000 S59 P102 289 N S59->C118->C154->C112->P102
955.8000 M491 10000 4 895.8000 S49 P102 285 N S49->C132->S91->C112->P102
1130.1000 M235 10000 2 830.1000 S23 P100 286 N S23->C147->P100
1130.2000 M539 10000 3 590.2000 S53 P100 290 N S53->C111->C147->P100
1130.3000 M58 10000 5 650.3000 S5 P100 289 N S5->C134->C136->S98->C147->P100
1130.4000 M57 10000 5 710.4000 S5 P100 288 N S5->C134->C136->S98->C147->P100
1130.5000 M762 10000 3 1010.5000 S76 P100 283 N S76->C108->C147->P100
1130.6000 M908 10000 2 650.6000 S90 P100 289 N S90->C147->P100
1130.7000 M238 10000 2 650.7000 S23 P100 289 N S23->C147->P100
1130.8000 M92 10000 3 1010.8000 S9 P100 283 N S9->C108->C147->P100
1193.3000 M44 10000 2 953.3000 S4 P100 284 N S4->C111->P100
1193.4000 M46 10000 2 833.4000 S4 P100 286 N S4->C111->P100
1193.5000 M49 10000 2 653.5000 S4 P100 289 N S4->C111->P100
1252.9000 M146 10000 4 892.9000 S14 P100 285 N S14->C107->S59->C137->P100
1253.0000 M827 10000 4 833.0000 S82 P100 286 N S82->C118->S59->C137->P100
1253.1000 M596 10000 3 893.1000 S59 P100 285 N S59->C108->C137->P100
1253.2000 M948 10000 4 773.2000 S94 P100 287 N S94->C112->S92->C137->P100
1253.3000 M284 10000 6 1013.3000 S28 P100 283 N S28->P102->C108->C112->S92->C137->P100
1253.4000 M148 10000 7 773.4000 S14 P100 287 N S14->C143->S82->C118->C107->S59->C137->P100
1253.5000 M458 10000 5 773.5000 S45 P100 287 N S45->C143->C107->S59->C137->P100
1253.6000 M225 10000 2 953.6000 S22 P100 284 N S22->C137->P100
1253.7000 M829 10000 6 713.7000 S82 P100 288 N S82->C143->C118->C107->S59->C137->P100
1253.8000 M223 10000 2 1073.8000 S22 P100 282 N S22->C137->P100
1277.0000 M724 10000 4 1037.0000 S72 P100 282 N S72->C133->S50->C123->P100
1277.1000 M642 10000 4 1157.1000 S64 P100 280 N S64->C115->S55->C123->P100
1277.2000 M248 10000 2 797.2000 S24 P100 286 N S24->C123->P100
1277.3000 M506 10000 2 917.3000 S50 P100 284 N S50->C123->P100
1277.4000 M310 10000 2 677.4000 S3 P100 288 N S3->C123->P100
1277.5000 M558 10000 2 797.5000 S55 P100 286 N S55->C123->P100
1277.6000 M37 10000 2 857.6000 S3 P100 285 N S3->C123->P100
1277.7000 M449 10000 3 737.7000 S44 P100 287 N S44->C115->C123->P100
1277.8000 M571 10000 4 1217.8000 S57 P100 279 N S57->C133->S50->C123->P100
1277.9000 M442 10000 3 1157.9000 S44 P100 280 N S44->C115->C123->P100
1278.0000 M872 10000 4 1158.0000 S87 P100 280 N S87->C121->S50->C123->P100
1278.1000 M35 10000 2 978.1000 S3 P100 283 N S3->C123->P100
1366.2000 M946 10000 4 1006.2000 S94 P100 283 N S94->C112->S92->C137->P100
1366.3000 M852 10000 5 1246.3000 S85 P100 279 N S85->C154->C112->S92->C137->P100
1366.4000 M456 10000 4 1006.4000 S45 P100 283 N S45->C107->S59->C137->P100
1366.5000 M594 10000 3 1126.5000 S59 P100 281 N S59->C108->C137->P100
1366.6000 M598 10000 3 886.6000 S59 P100 285 N S59->C108->C137->P100
1381.7000 M399 10000 5 841.7000 S39 P100 285 N S39->C131->S91->C112->C147->P100
1381.8000 M913 10000 3 1201.8000 S91 P100 279 N S91->C112->C147->P100
1381.9000 M918 10000 3 901.9000 S91 P100 284 N S91->C112->C147->P100
1382.0000 M155 10000 3 1082.0000 S15 P100 281 N S15->C112->C147->P100
1382.1000 M299 10000 5 842.1000 S29 P100 285 N S29->C131->S91->C112->C147->P100
1382.2000 M768 10000 5 902.2000 S76 P100 284 N S76->C131->S91->C112->C147->P100
1382.3000 M9110 10000 3 782.3000 S91 P100 286 N S91->C112->C147->P100
1382.4000 M914 10000 3 1142.4000 S91 P100 280 N S91->C112->C147->P100
1382.5000 M152 10000 3 1262.5000 S15 P100 278 N S15->C112->C147->P100
1442.2000 M224 10000 3 1202.2000 S22 P102 279 N S22->C137->C154->P102
1442.3000 M910 10000 2 842.3000 S9 P102 285 N S9->C154->P102
1442.4000 M96 10000 2 1082.4000 S9 P102 281 N S9->C154->P102
1442.5000 M9810 10000 3 842.5000 S98 P102 285 N S98->C137->C154->P102
1442.6000 M858 10000 2 962.6000 S85 P102 283 N S85->C154->P102
1443.9000 M234 10000 6 1203.9000 S23 P102 279 N S23->C123->C112->C118->S9->C143->P102
1444.0000 M239 10000 6 904.0000 S23 P102 284 N S23->C123->C112->C118->S9->C143->P102
1506.9000 M4310 10000 3 906.9000 S43 P100 284 N S43->C122->C142->P100
1507.0000 M959 10000 2 967.0000 S95 P100 283 N S95->C142->P100
1507.1000 M4810 10000 3 907.1000 S48 P100 284 N S48->C132->C142->P100
1507.2000 M489 10000 3 967.2000 S48 P100 283 N S48->C132->C142->P100
1507.3000 M403 10000 5 1327.3000 S40 P100 277 N S40->C119->S30->C122->C142->P100
1507.4000 M439 10000 3 967.4000 S43 P100 283 N S43->C122->C142->P100
