# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
93.1000 M11 10000 2 33.1000 S1 P104 299 N S1->C141->P104
144.7000 M372 10000 2 24.7000 S37 P100 299 N S37->C162->P100
162.8000 M862 10000 2 42.8000 S86 P103 299 N S86->C208->P103
162.9000 M861 10000 2 102.9000 S86 P103 298 N S86->C208->P103
187.8000 M883 10000 2 7.8000 S88 P100 299 N S88->C178->P100
217.8000 M851 10000 2 157.8000 S85 P102 297 N S85->C189->P102
299.5000 M884 10000 2 59.5000 S88 P100 299 N S88->C219->P100
383.2000 M154 10000 2 143.2000 S15 P102 297 N S15->C221->P102
383.3000 M271 10000 2 323.3000 S27 P102 294 N S27->C221->P102
383.4000 M763 10000 2 203.4000 S76 P102 296 N S76->C221->P102
383.5000 M492 10000 5 263.5000 S49 P102 295 N S49->C108->S48->C204->C221->P102
405.7000 M395 10000 3 105.7000 S39 P102 298 N S39->C204->C108->P102
405.8000 M562 10000 3 285.8000 S56 P102 295 N S56->C204->C108->P102
405.9000 M491 10000 3 345.9000 S49 P102 294 N S49->C204->C108->P102
406.0000 M294 10000 3 166.0000 S29 P102 297 N S29->C204->C108->P102
406.6000 M641 10000 4 346.6000 S64 P101 294 N S64->C197->C229->C192->P101
419.6000 M44 10000 2 179.6000 S4 P100 297 N S4->C185->P100
419.7000 M232 10000 4 299.7000 S23 P100 295 N S23->C119->S5->C185->P100
419.8000 M412 10000 4 299.8000 S41 P100 295 N S41->C119->S5->C185->P100
419.9000 M46 10000 2 59.9000 S4 P100 299 N S4->C185->P100
420.0000 M411 10000 4 360.0000 S41 P100 294 N S41->C119->S5->C185->P100
420.1000 M613 10000 4 240.1000 S61 P100 295 N S61->C220->C141->C185->P100
420.2000 M303 10000 4 240.2000 S30 P100 295 N S30->C119->S5->C185->P100
420.3000 M235 10000 2 120.3000 S23 P100 297 N S23->C185->P100
420.4000 M171 10000 4 360.4000 S17 P100 293 N S17->C119->S5->C185->P100
420.5000 M302 10000 4 300.5000 S30 P100 294 N S30->C119->S5->C185->P100
454.5000 M497 10000 2 34.5000 S49 P102 299 N S49->C183->P102
454.6000 M93 10000 2 274.6000 S9 P102 295 N S9->C183->P102
454.7000 M451 10000 3 394.7000 S45 P102 293 N S45->C175->C183->P102
454.8000 M524 10000 4 214.8000 S52 P102 296 N S52->C148->C204->C183->P102
498.7000 M736 10000 3 138.7000 S73 P100 297 N S73->C136->C225->P100
520.2000 M852 10000 2 400.2000 S85 P100 293 N S85->C189->P100
520.3000 M238 10000 2 40.3000 S23 P100 299 N S23->C189->P100
520.4000 M814 10000 3 280.4000 S81 P100 295 N S81->C150->C189->P100
520.5000 M995 10000 4 220.5000 S99 P100 296 N S99->C181->S23->C189->P100
520.6000 M811 10000 3 460.6000 S81 P100 292 N S81->C150->C189->P100
520.7000 M284 10000 3 280.7000 S28 P100 295 N S28->P102->C189->P100
540.1000 M289 10000 1 0.1000 S28 P102 299 N S28->P102
559.7000 M43 10000 4 379.7000 S4 P102 293 N S4->C162->C216->C166->P102
559.8000 M371 10000 6 499.8000 S37 P102 291 N S37->C162->S88->C178->C216->C166->P102
559.9000 M61 10000 7 499.9000 S6 P102 291 N S6->C156->S54->C143->C134->C216->C166->P102
560.0000 M216 10000 3 200.0000 S21 P102 296 N S21->C216->C166->P102
567.0000 M49 10000 2 27.0000 S4 P100 299 N S4->C225->P100
609.9000 M152 10000 7 489.9000 S15 P100 291 N S15->C132->C221->C166->C120->C219->C189->P100
610.0000 M888 10000 2 130.0000 S88 P100 297 N S88->C189->P100
610.1000 M914 10000 6 370.1000 S91 P100 293 N S91->C221->C166->C120->C219->C189->P100
610.6000 M92 10000 6 490.6000 S9 P100 291 N S9->C202->C116->C120->C219->C189->P100
637.8000 M966 10000 2 277.8000 S96 P103 295 N S96->C195->P103
645.3000 M792 10000 10 525.3000 S79 P102 291 N S79->C112->C138->C188->C111->C128->S15->C221->C108->C185->P102
645.4000 M234 10000 2 405.4000 S23 P102 293 N S23->C185->P102
645.5000 M144 10000 2 405.5000 S14 P102 293 N S14->C185->P102
645.6000 M826 10000 5 285.6000 S82 P102 295 N S82->C106->C116->S9->C185->P102
645.7000 M910 10000 2 45.7000 S9 P102 299 N S9->C185->P102
645.8000 M142 10000 2 525.8000 S14 P102 291 N S14->C185->P102
645.9000 M54 10000 2 405.9000 S5 P102 293 N S5->C185->P102
646.0000 M321 10000 3 586.0000 S32 P102 290 N S32->C137->C185->P102
646.1000 M157 10000 4 226.1000 S15 P102 296 N S15->C221->C108->C185->P102
646.2000 M595 10000 4 346.2000 S59 P102 294 N S59->C137->S14->C185->P102
646.3000 M158 10000 4 166.3000 S15 P102 297 N S15->C221->C108->C185->P102
646.4000 M172 10000 4 526.4000 S17 P102 291 N S17->C119->S5->C185->P102
646.5000 M53 10000 2 466.5000 S5 P102 292 N S5->C185->P102
646.6000 M96 10000 2 286.6000 S9 P102 295 N S9->C185->P102
