# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
187.8000 M883 10000 2 7.8000 S88 P100 299 N S88->C178->P100
217.8000 M851 10000 2 157.8000 S85 P102 297 N S85->C189->P102
280.9000 M93 10000 3 100.9000 S9 P102 298 N S9->C183->C189->P102
288.9000 M884 10000 2 48.9000 S88 P100 299 N S88->C212->P100
299.0000 M372 10000 2 179.0000 S37 P100 297 N S37->C219->P100
383.2000 M154 10000 2 143.2000 S15 P102 297 N S15->C221->P102
383.3000 M491 10000 3 323.3000 S49 P102 294 N S49->C202->C221->P102
383.4000 M96 10000 2 23.4000 S9 P102 299 N S9->C221->P102
383.5000 M492 10000 3 263.5000 S49 P102 295 N S49->C202->C221->P102
405.7000 M395 10000 2 105.7000 S39 P102 298 N S39->C108->P102
405.8000 M524 10000 3 165.8000 S52 P102 297 N S52->C148->C108->P102
405.9000 M294 10000 2 165.9000 S29 P102 297 N S29->C108->P102
406.0000 M271 10000 2 346.0000 S27 P102 294 N S27->C108->P102
419.6000 M46 10000 2 59.6000 S4 P100 299 N S4->C185->P100
419.7000 M44 10000 2 179.7000 S4 P100 297 N S4->C185->P100
437.3000 M763 10000 2 257.3000 S76 P102 295 N S76->C166->P102
454.0000 M497 10000 2 34.0000 S49 P102 299 N S49->C183->P102
454.1000 M562 10000 3 334.1000 S56 P102 294 N S56->C204->C183->P102
493.7000 M887 10000 2 73.7000 S88 P100 298 N S88->C185->P100
493.8000 M888 10000 2 13.8000 S88 P100 299 N S88->C185->P100
520.2000 M238 10000 2 40.2000 S23 P100 299 N S23->C189->P100
520.3000 M284 10000 3 280.3000 S28 P100 295 N S28->P102->C189->P100
520.4000 M814 10000 3 280.4000 S81 P100 295 N S81->C150->C189->P100
520.5000 M235 10000 2 220.5000 S23 P100 296 N S23->C189->P100
520.6000 M811 10000 3 460.6000 S81 P100 292 N S81->C150->C189->P100
520.7000 M232 10000 2 400.7000 S23 P100 293 N S23->C189->P100
540.1000 M289 10000 1 0.1000 S28 P102 299 N S28->P102
546.9000 M451 10000 3 486.9000 S45 P102 291 N S45->C185->C108->P102
547.0000 M144 10000 3 307.0000 S14 P102 294 N S14->C185->C108->P102
547.1000 M142 10000 3 427.1000 S14 P102 292 N S14->C185->C108->P102
567.0000 M49 10000 2 27.0000 S4 P100 299 N S4->C225->P100
637.8000 M862 10000 2 517.8000 S86 P103 291 N S86->C195->P103
637.9000 M966 10000 2 277.9000 S96 P103 295 N S96->C195->P103
638.0000 M861 10000 2 578.0000 S86 P103 290 N S86->C195->P103
645.3000 M158 10000 2 165.3000 S15 P102 297 N S15->C185->P102
645.4000 M157 10000 3 225.4000 S15 P102 296 N S15->C221->C185->P102
645.5000 M823 10000 4 465.5000 S82 P102 292 N S82->C106->C116->C185->P102
645.6000 M826 10000 4 285.6000 S82 P102 295 N S82->C106->C116->C185->P102
645.7000 M910 10000 2 45.7000 S9 P102 299 N S9->C185->P102
645.8000 M597 10000 4 225.8000 S59 P102 296 N S59->C106->C154->C185->P102
645.9000 M595 10000 4 345.9000 S59 P102 294 N S59->C106->C116->C185->P102
659.8000 M818 10000 2 179.8000 S81 P102 297 N S81->C162->P102
659.9000 M216 10000 3 299.9000 S21 P102 295 N S21->C212->C162->P102
660.0000 M371 10000 3 600.0000 S37 P102 289 N S37->C212->C162->P102
696.5000 M218 10000 3 216.5000 S21 P102 296 N S21->C134->C183->P102
704.1000 M716 10000 6 344.1000 S71 P102 294 N S71->C111->C148->S48->C202->C108->P102
704.2000 M858 10000 3 224.2000 S85 P102 296 N S85->C221->C108->P102
764.4000 M556 10000 3 404.4000 S55 P103 293 N S55->C115->C208->P103
764.5000 M31 10000 3 704.5000 S3 P103 288 N S3->C129->C208->P103
764.6000 M33 10000 3 584.6000 S3 P103 290 N S3->C129->C208->P103
764.7000 M9610 10000 3 164.7000 S96 P103 297 N S96->C227->C208->P103
764.8000 M445 10000 2 464.8000 S44 P103 292 N S44->C208->P103
764.9000 M39 10000 2 224.9000 S3 P103 296 N S3->C208->P103
765.0000 M552 10000 3 645.0000 S55 P103 289 N S55->C115->C208->P103
765.1000 M977 10000 3 345.1000 S97 P103 294 N S97->C218->C208->P103
771.8000 M279 10000 2 231.8000 S27 P102 296 N S27->C212->P102
771.9000 M7110 10000 3 171.9000 S71 P102 297 N S71->C191->C212->P102
772.0000 M526 10000 5 412.0000 S52 P102 293 N S52->C111->C148->S48->C212->P102
772.1000 M297 10000 3 352.1000 S29 P102 294 N S29->C212->C162->P102
836.6000 M708 10000 2 356.6000 S70 P101 294 N S70->C215->P101
836.7000 M706 10000 2 476.7000 S70 P101 292 N S70->C215->P101
836.8000 M367 10000 3 416.8000 S36 P101 293 N S36->C164->C215->P101
836.9000 M125 10000 3 536.9000 S12 P101 291 N S12->C164->C215->P101
837.0000 M705 10000 2 537.0000 S70 P101 291 N S70->C215->P101
837.1000 M361 10000 3 777.1000 S36 P101 287 N S36->C164->C215->P101
837.2000 M701 10000 2 777.2000 S70 P101 287 N S70->C215->P101
837.3000 M365 10000 3 537.3000 S36 P101 291 N S36->C164->C215->P101
856.3000 M995 10000 2 556.3000 S99 P100 290 N S99->C141->P100
856.4000 M58 10000 2 376.4000 S5 P100 293 N S5->C141->P100
856.5000 M613 10000 2 676.5000 S61 P100 288 N S61->C141->P100
856.6000 M57 10000 2 436.6000 S5 P100 292 N S5->C141->P100
890.6000 M399 10000 3 350.6000 S39 P100 294 N S39->C178->C189->P100
890.7000 M92 10000 4 770.7000 S9 P100 287 N S9->C183->C178->C189->P100
890.8000 M913 10000 5 710.8000 S91 P100 288 N S91->C128->C183->C178->C189->P100
890.9000 M287 10000 5 470.9000 S28 P100 292 N S28->P102->C183->C178->C189->P100
891.0000 M486 10000 5 531.0000 S48 P100 291 N S48->C204->C183->C178->C189->P100
891.1000 M914 10000 5 651.1000 S91 P100 289 N S91->C128->C183->C178->C189->P100
891.2000 M483 10000 5 711.2000 S48 P100 288 N S48->C204->C183->C178->C189->P100
891.3000 M852 10000 4 771.3000 S85 P100 287 N S85->C183->C178->C189->P100
895.5000 M155 10000 4 595.5000 S15 P100 290 N S15->C183->C178->C189->P100
895.6000 M299 10000 3 355.6000 S29 P100 294 N S29->C178->C189->P100
895.7000 M762 10000 4 775.7000 S76 P100 287 N S76->C183->C178->C189->P100
902.6000 M919 10000 3 362.6000 S91 P102 293 N S91->C191->C212->P102
902.7000 M719 10000 3 362.7000 S71 P102 293 N S71->C191->C212->P102
902.8000 M398 10000 2 422.8000 S39 P102 292 N S39->C212->P102
902.9000 M298 10000 2 422.9000 S29 P102 292 N S29->C212->P102
903.0000 M277 10000 2 483.0000 S27 P102 291 N S27->C212->P102
911.6000 M795 10000 4 611.6000 S79 P100 289 N S79->C130->C137->C220->P100
911.7000 M946 10000 3 551.7000 S94 P100 290 N S94->C137->C220->P100
