# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
93.1000 M11 10000 2 33.1000 S1 P104 299 N S1->C141->P104
144.7000 M372 10000 2 24.7000 S37 P100 299 N S37->C162->P100
162.8000 M862 10000 2 42.8000 S86 P103 299 N S86->C208->P103
162.9000 M861 10000 2 102.9000 S86 P103 298 N S86->C208->P103
187.8000 M883 10000 2 7.8000 S88 P100 299 N S88->C178->P100
217.8000 M851 10000 2 157.8000 S85 P102 297 N S85->C189->P102
280.9000 M93 10000 3 100.9000 S9 P102 298 N S9->C183->C189->P102
292.3000 M884 10000 2 52.3000 S88 P100 299 N S88->C212->P100
383.2000 M154 10000 2 143.2000 S15 P102 297 N S15->C221->P102
383.3000 M492 10000 4 263.3000 S49 P102 295 N S49->C108->C204->C221->P102
383.4000 M271 10000 2 323.4000 S27 P102 294 N S27->C221->P102
383.5000 M763 10000 4 203.5000 S76 P102 296 N S76->C202->S15->C221->P102
405.7000 M395 10000 3 105.7000 S39 P102 298 N S39->C204->C108->P102
405.8000 M524 10000 4 165.8000 S52 P102 297 N S52->C148->C202->C108->P102
405.9000 M491 10000 3 345.9000 S49 P102 294 N S49->C204->C108->P102
406.0000 M294 10000 3 166.0000 S29 P102 297 N S29->C204->C108->P102
406.1000 M562 10000 3 286.1000 S56 P102 295 N S56->C204->C108->P102
406.6000 M641 10000 4 346.6000 S64 P101 294 N S64->C197->C229->C192->P101
419.5000 M613 10000 4 239.5000 S61 P100 296 N S61->C220->C141->C185->P100
419.6000 M44 10000 2 179.6000 S4 P100 297 N S4->C185->P100
419.7000 M46 10000 2 59.7000 S4 P100 299 N S4->C185->P100
419.8000 M412 10000 4 299.8000 S41 P100 295 N S41->C119->S23->C185->P100
419.9000 M411 10000 4 359.9000 S41 P100 294 N S41->C119->S23->C185->P100
420.0000 M171 10000 4 360.0000 S17 P100 294 N S17->C119->S5->C185->P100
420.1000 M235 10000 2 120.1000 S23 P100 297 N S23->C185->P100
420.2000 M302 10000 4 300.2000 S30 P100 294 N S30->C119->S5->C185->P100
420.3000 M232 10000 4 300.3000 S23 P100 294 N S23->C119->S5->C185->P100
420.4000 M303 10000 4 240.4000 S30 P100 295 N S30->C119->S5->C185->P100
437.2000 M96 10000 2 77.2000 S9 P102 298 N S9->C166->P102
437.3000 M823 10000 5 257.3000 S82 P102 295 N S82->C210->C130->C214->C166->P102
437.4000 M451 10000 5 377.4000 S45 P102 293 N S45->C175->C183->C202->C166->P102
454.6000 M497 10000 2 34.6000 S49 P102 299 N S49->C183->P102
498.7000 M736 10000 3 138.7000 S73 P100 297 N S73->C136->C225->P100
520.2000 M814 10000 3 280.2000 S81 P100 295 N S81->C178->C189->P100
520.3000 M92 10000 5 400.3000 S9 P100 293 N S9->C202->C116->C183->C189->P100
520.4000 M811 10000 3 460.4000 S81 P100 292 N S81->C178->C189->P100
520.5000 M852 10000 2 400.5000 S85 P100 293 N S85->C189->P100
520.6000 M284 10000 3 280.6000 S28 P100 295 N S28->P102->C189->P100
520.7000 M995 10000 4 220.7000 S99 P100 296 N S99->C181->S23->C189->P100
540.1000 M289 10000 1 0.1000 S28 P102 299 N S28->P102
557.9000 M43 10000 5 377.9000 S4 P102 293 N S4->C162->C150->C216->C166->P102
560.0000 M966 10000 2 200.0000 S96 P103 296 N S96->C195->P103
567.0000 M49 10000 2 27.0000 S4 P100 299 N S4->C225->P100
645.3000 M158 10000 4 165.3000 S15 P102 297 N S15->C221->S76->C185->P102
645.4000 M157 10000 4 225.4000 S15 P102 296 N S15->C221->C108->C185->P102
645.5000 M53 10000 2 465.5000 S5 P102 292 N S5->C185->P102
645.6000 M142 10000 2 525.6000 S14 P102 291 N S14->C185->P102
645.7000 M234 10000 2 405.7000 S23 P102 293 N S23->C185->P102
645.8000 M54 10000 2 405.8000 S5 P102 293 N S5->C185->P102
645.9000 M321 10000 3 585.9000 S32 P102 290 N S32->C137->C185->P102
646.0000 M371 10000 4 586.0000 S37 P102 290 N S37->C162->S4->C185->P102
646.1000 M172 10000 4 526.1000 S17 P102 291 N S17->C119->S5->C185->P102
646.2000 M595 10000 4 346.2000 S59 P102 294 N S59->C106->S14->C185->P102
652.0000 M597 10000 5 232.0000 S59 P102 296 N S59->C106->C116->S9->C221->P102
652.1000 M910 10000 2 52.1000 S9 P102 299 N S9->C221->P102
659.8000 M216 10000 3 299.8000 S21 P102 295 N S21->C178->C162->P102
659.9000 M818 10000 3 179.9000 S81 P102 297 N S81->C150->C162->P102
660.0000 M218 10000 3 180.0000 S21 P102 296 N S21->C178->C162->P102
671.3000 M9610 10000 2 71.3000 S96 P103 298 N S96->C227->P103
704.1000 M858 10000 3 224.1000 S85 P102 296 N S85->C221->C108->P102
706.7000 M657 10000 2 286.7000 S65 P103 295 N S65->C229->P103
706.8000 M831 10000 5 646.8000 S83 P103 289 N S83->C158->C187->C192->C229->P103
706.9000 M33 10000 4 526.9000 S3 P103 291 N S3->C159->S64->C229->P103
